Queries,Src,Event time,Event Type,,,Subtype,Topic,,,,,,,
lillian gertrud asplund,MSN_impl,20060506,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Unplanned,1: Breaking,8: Deaths,"http://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&ved=0CDYQFjAA&url=http%3A%2F%2Fen.wikipedia.org%2Fwiki%2FLillian_Asplund&ei=hUjsUNGuHZDMswbn8oHYAQ&usg=AFQjCNE_vNjG-s4IBfcr5sn4sFMsur_o1w&sig2=8elMaAwsW0fU8GbiWnvleA&bvm=bv.1357316858,d.Yms",,,,,,
lionel richie performing dc april 2006,AOL_expl,20060410,2: Recency event (b/w 01/03/2006 - 31/05/2006),Non-recurrent,Planned,1: Breaking,3: Entertainment,,,,,,,
lions tournament 2006,AOL_expl,20060610,2: Recency event (b/w 01/03/2006 - 31/05/2006),Non-recurrent,Planned,2: Ongoing,3: Entertainment,,,,,,,
long beach grand prix,AOL_impl,20060408,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,Planned,2: Ongoing,6: Sports,,,,,,,
lotto sat may 20 fla,AOL_expl,20060520,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-month,2: Ongoing,3: Entertainment,,,,,,,
louis rukeyser,MSN_impl,20060502,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Unplanned,1: Breaking,8: Deaths,,,,,,,
madonna 2006 concert tour,AOL_expl,20060521-20060723,2: Recency event (b/w 01/03/2006 - 31/05/2006),Non-recurrent,Planned,2: Ongoing,3: Entertainment,,,,,,,
march 14 2006 duke lacross rape,AOL_expl,20060314,2: Recency event (b/w 01/03/2006 - 31/05/2006),Non-recurrent,Unplanned,1: Breaking,1: News,,,,,,,
march 2006 antique car shows in alabama,AOL_expl,20060301-20060331,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,3: Entertainment,,,,,,,
march 2006 antique car shows in alabama,AOL_impl,20060301-20060331,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Planned,2: Ongoing,3: Entertainment,,,,,,,
march 2006 car accident cleveland ohio,AOL_expl,20060301-20060331,1: Past event (before 01/03/2006),Non-recurrent,Unplanned,1: Breaking,1: News,,,,,,,
march madness,AOL_impl,20060320,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
march madness 20-06 dick vitale,AOL_expl,20060320,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,1: News,,,,,,,
march madness brackets,AOL_expl,20060320,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
march madness brackets,AOL_impl,20060320,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
march madness lesson plans,AOL_expl,20060320,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
march madness on demand,AOL_expl,20060320,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
march madness picks,AOL_expl,20060320,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
march madness predictions,AOL_expl,20060320,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
march madness printable bracket,AOL_expl,20060320,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
mardi gras,AOL_impl,20060228,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,7: Holiday,,,,,,,
mardi gras pictures,AOL_impl,20060228,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,1: Breaking,7: Holiday,,,,,,,
mario williams,MSN_impl,20060429,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Unplanned,2: Ongoing,6: Sports,,,,,,,
martin luther king jr,AOL_impl,20060404,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Unplanned,5: Commemorative,2: Fact,,,,,,,
martin luther king jr.,AOL_impl,20060404,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Unplanned,5: Commemorative,2: Fact,,,,,,,
may 20 2006 volcanic ash cloud in caribbean,AOL_expl,20060520,2: Recency event (b/w 01/03/2006 - 31/05/2006),Non-recurrent,Unplanned,1: Breaking,1: News,,,,,,,
may 2006 0prah shows,MSN_expl,20060520,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-week,2: Ongoing,3: Entertainment,,,,,,,
may day,AOL_impl,20060501,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,7: Holiday,,,,,,,
mci center,AOL_impl,20060302,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Unplanned,2: Ongoing,3: Entertainment,,,,,,,
mega fest 2006,MSN_expl,20060719-20060722,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,3: Anticipated,7: Holiday,,,,,,,
memorial day,AOL_impl,20060529,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,3: Anticipated,7: Holiday,,,,,,,
memorial day 2006,MSN_expl,20060529,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,3: Anticipated,7: Holiday,,,,,,,
memorial day poems,AOL_impl,20060529,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,3: Anticipated,7: Holiday,,,,,,,
memphis,AOL_impl,20060501-20060531,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
memphis in may,AOL_impl,20060501-20060531,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
memphis in may 2006,MSN_expl,20060501-20060531,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
mets 2006 schedule,AOL_expl,20060403-20061001,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
mexican flag,AOL_impl,20060404,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,2: Fact,Non-recurrent,Part of cinco de mayo?,,,,,
mexican recipes,AOL_impl,20060404,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,2: Fact,,,,,,,
mexican student walkout & california & 1968,AOL_expl,19680305-19680312,1: Past event (before 01/03/2006),Non-recurrent,Unplanned,5: Commemorative,2: Fact,,,,,,,
michael hayden,MSN_impl,20060508,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Unplanned,1: Breaking,1: News,,,,,,,
michelle kwan,AOL_impl,20060210-20060226,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Unplanned,4: Meme,6: Sports,http://en.wikipedia.org/wiki/2006_Winter_Olympics,,,,,,
michelle rodriguez,MSN_impl,20060504,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Unplanned,1: Breaking,5: Celebrity,http://lostpedia.wikia.com/wiki/Michelle_Rodriguez,,,,,,
michelle wie,MSN_impl,20060515,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Unplanned,1: Breaking,6: Sports,,,,,,,
mike wallace 1991 interview with barbara streisand,MSN_expl,19911124,1: Past event (before 01/05/2006),Non-recurrent,Planned,5: Commemorative,3: Entertainment,http://barbratimeless.com/2009apology.htm,,,,20060521,http://www.examiner.com/article/how-mike-wallace-made-barbra-streisand-cry-on-the-60-minutes-we-cannot-forget,
military pay chart 2006,MSN_expl,20060101,1: Past event (before 01/05/2006),Non-recurrent,Planned,5: Commemorative,1: News,,,,,,,
miss florida teen 2006,AOL_expl,20060513,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,3: Entertainment,http://my.hsj.org/Schools/Newspaper/tabid/100/view/frontpage/schoolid/682/articleid/102078/newspaperid/658/School8217s_own_runs_for_Miss_Florida_Teen_USA.aspx,,,,,,
miss universe 2006,MSN_expl,20060723,3: Future event (after 31/05/2006),Recurrent,1-year,3: Anticipated,3: Entertainment,,,,,,,
miss usa,AOL_impl,20060421,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,3: Entertainment,,,,,,,
miss usa 2005,MSN_expl,20050411,1: Past event (before 01/05/2006),Recurrent,1-year,5: Commemorative,3: Entertainment,,,,,,,
miss usa 2006,AOL_expl,20060421,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,3: Entertainment,,,,,,,
miss usa 2006,MSN_expl,20060421,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,3: Entertainment,,,,,,,
miss utah 2006,AOL_expl,20060421,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,3: Entertainment,,,,,,,
miss world 2006,MSN_expl,20060930,3: Future event (after 31/05/2006),Recurrent,1-year,3: Anticipated,3: Entertainment,,,,,,,
mission impossible 3,AOL_impl,20060424,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Planned,2: Ongoing,3: Entertainment,,,,,,,
mlb 2006,AOL_expl,20060402-20061027,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
mlb draft 2006,AOL_expl,20060606-20060607,3: Future event (after 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
mock draft 2006,AOL_expl,20060606-20060607,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,http://niagara-gazette.com/nightandday/x681246301/2006-Molson-Canal-Concert-Series-lineup,,,,,,
molson concert series 2006,MSN_expl,20060513,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Planned,2: Ongoing,6: Sports,http://www.freerepublic.com/focus/f-news/1604537/posts,,,,,,
monica crowley,AOL_impl,20060401,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Unplanned,1: Breaking,1: News,,,,,,,
morel mushrooms mi 2006,AOL_expl,20060511-20060520,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,5: Commemorative,8: Deaths,,,,,,,
mortal kombat,AOL_impl,20061011,3: Future event (after 31/05/2006),Non-recurrent,Planned,3: Anticipated,3: Entertainment,future event,,,,,,
mortal kombat reptile,AOL_impl,20061011,3: Future event (after 31/05/2006),Non-recurrent,Planned,3: Anticipated,3: Entertainment,,,,,,,
mother day,MSN_impl,20060514,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,1-year,3: Anticipated,7: Holiday,,,,,,,
mother days sweepstakes,AOL_impl,20060514,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,3: Anticipated,7: Holiday,,,,,,,
mothers day,AOL_impl,20060514,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,3: Anticipated,7: Holiday,,,,,,,
mothers day,MSN_impl,20060514,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,1-year,3: Anticipated,7: Holiday,,,,,,,
mother's day,AOL_impl,20060514,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,3: Anticipated,7: Holiday,,,,,,,
mother's day,MSN_impl,20060514,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,1-year,3: Anticipated,7: Holiday,,,,,,,
mothers day 2006,MSN_expl,20060514,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,3: Anticipated,7: Holiday,,,,,,,
mother's day 2006,MSN_expl,20060514,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,3: Anticipated,7: Holiday,,,,,,,
mothers day cards,AOL_impl,20060514,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,3: Anticipated,7: Holiday,,,,,,,
mothers day gifts,AOL_impl,20060514,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,3: Anticipated,7: Holiday,,,,,,,
mothers day poems,AOL_impl,20060514,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,3: Anticipated,7: Holiday,,,,,,,
mother's day recipes,AOL_impl,20060514,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,3: Anticipated,7: Holiday,,,,,,,
mothers day sermons,AOL_impl,20060514,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,3: Anticipated,7: Holiday,,,,,,,
mothers poems,AOL_impl,20060514,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,3: Anticipated,7: Holiday,,,,,,,
mothersday,AOL_impl,20060514,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,3: Anticipated,7: Holiday,,,,,,,
mothersday,MSN_impl,20060514,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,1-year,3: Anticipated,7: Holiday,,,,,,,
motion to compel florida,AOL_impl,20060329,1: Past event (before 01/05/2006),Non-recurrent,Unplanned,1: Breaking,4: Politics,http://caselaw.findlaw.com/fl-district-court-of-appeal/1331406.html,,,,,,
mr. walt ed easley murdered in rockford ill. on may 3 2006,AOL_expl,20060503,1: Past event (before 01/03/2006),Non-recurrent,Unplanned,1: Breaking,8: Deaths,,,,,,,
mrs. kansas 2006 winner,MSN_expl,20060527,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,3: Entertainment,,,,,,,
mystery case files prime suspects,AOL_impl,20060405,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Planned,4: Meme,3: Entertainment,http://www.answers.com/topic/mystery-case-files-prime-suspects-1,,,,,,
mystery files game,AOL_impl,20060405,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Planned,4: Meme,3: Entertainment,,,,,,,
nasdaq tennis,AOL_impl,20060320-20060402,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
nasdaq-100 open,AOL_impl,20060320-20060402,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
natalie holloway,MSN_impl,20060411,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Unplanned,1: Breaking,1: News,,,,,,,
nba,MSN_impl,20060423,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
nba 2006 mock draft,MSN_expl,20060423,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
nba draft,MSN_impl,20060423,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
nba draft 2006,MSN_expl,20060423,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
nba draft 2006,AOL_impl,20060423,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
nba draft lottery,MSN_impl,20060423,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
nba finals,MSN_impl,20060423,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
nba live 2006,AOL_expl,20060423,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
nba live 2006,MSN_expl,20060423,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
nba live 2006 update,AOL_expl,20060423,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
nba mock 2006 draft,MSN_expl,20060423,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
nba mock draft,MSN_impl,20060423,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
nba mock draft 2006,MSN_expl,20060423,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
nba playoffs,AOL_impl,20060423,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
nba playoffs,MSN_impl,20060423,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
nba playoffs 2006,MSN_expl,20060423,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
nba rumors,AOL_impl,20060423,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
nba scores,AOL_impl,20060423,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
nbadraft 2006,MSN_expl,20060423,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
nbadraft.net,MSN_impl,20060423,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
ncaa 2006 bracket,AOL_expl,20060316-20060403,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
ncaa baseball,MSN_impl,20060316-20060403,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
ncaa basketball,AOL_impl,20060316-20060403,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
ncaa basketball tournament 2006,AOL_expl,20060316-20060403,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
ncaa bracket 2006,AOL_expl,20060316-20060403,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,4-year,2: Ongoing,6: Sports,,,,,,,
ncaa brackets,AOL_impl,20060316-20060403,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
ncaa march madness,AOL_expl,20061011,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
ncaa scores,AOL_impl,20060316-20060403,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
ncaa tournament,AOL_impl,20060316-20060403,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
ncaa tournament and 2006,AOL_expl,20060316-20060403,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
ncaa tournament predictions 2006,AOL_expl,20060316-20060403,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
ncaa wrestling,AOL_impl,20060316-20060318,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
new orleans jazz fest,MSN_impl,20060428-20060507,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,7: Holiday,,,,,,,
new york court of appeals gay marriage 2006,AOL_expl,20060706,3: Future event (after 31/05/2006),Non-recurrent,Unplanned,3: Anticipated,1: News,,,,,,,
new york dolls 2006 tour dates,AOL_expl,20060725,3: Future event (after 31/05/2006),Non-recurrent,Planned,3: Anticipated,3: Entertainment,future event,,,,,,
new york fashion week spring 2007,AOL_expl,20060920,3: Future event (after 31/05/2006),Recurrent,1-year,3: Anticipated,3: Entertainment,http://www.sawfnews.com/Lifestyle/21516.aspx,,,,,,
new york giants 2006 schedule,AOL_expl,20060811-20061230,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
nfl draft,AOL_impl,20060429-20060430,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
nfl draft,MSN_impl,20060429-20060430,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
2006 nfl draft press conference bruce gradkowski,MSN_expl,20060429-20060430,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
nfl draft grades 2006,MSN_expl,20060429-20060430,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
nfl mock draft,AOL_impl,20060429-20060430,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
nfl rumors,AOL_impl,20060429-20060430,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
nit,AOL_impl,20060312-20060330,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
nit 2006,AOL_expl,20060312-20060330,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
nit basketball 2006,AOL_expl,20060312-20060330,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
nit predictions 2006,AOL_expl,20060312-20060330,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
nit tournament,AOL_impl,20060312-20060330,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,6: Sports,,,,,,,
nj school elections 2006,AOL_expl,20061107,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,4: Politics,,,,,,,
north korea missiles,MSN_impl,20060705,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Planned,1: Breaking,1: News,"http://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&ved=0CDYQFjAA&url=http%3A%2F%2Fen.wikipedia.org%2Fwiki%2F2006_North_Korean_missile_test&ei=NXLtUMSfJ-SK4gSj8ICIAw&usg=AFQjCNFgJSU1I0QbI07Z5pPNvw0p3wgjzw&sig2=DiMNWa69yFiVHxZOMO_bJA&bvm=bv.1357316858,d.bGE",,,,,,
npe 2006,MSN_expl,20060831,3: Future event (after 31/05/2006),Recurrent,1-year,3: Anticipated,1: News,future event,"http://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=4&cad=rja&ved=0CFEQFjAD&url=http%3A%2F%2Fwww.plasticstoday.com%2Farticles%2Fnpe-2006-showcase-thermoforming&ei=EHLtUNDaGsiH4ATyrYCICA&usg=AFQjCNEveqUUVgw-oqlL_F8JkLNnCEgE4w&sig2=pJ2uietIwOuBlYqnYROrYA&bvm=bv.1357316858,d.bGE",,,,,
nurses day 2006,MSN_expl,20060506,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,7: Holiday,,,,,,,
nurse's day 2006,MSN_expl,20060506,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,7: Holiday,,,,,,,
nursing 2006,MSN_expl,20060506,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,7: Holiday,,,,,,,
nys chancellors award 2006,AOL_expl,20060519,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,2: Ongoing,1: News,,,,,,,
ohio 1997 car accidents,AOL_expl,19971107,1: Past event (before 01/03/2006),Non-recurrent,Unplanned,1: Breaking,1: News,,,,,,,
ohio 2006 primary election,AOL_expl,20060502,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,4-year,2: Ongoing,4: Politics,,,,,,,
ohio seneca 1997 car accident,AOL_expl,19971107,1: Past event (before 01/03/2006),Non-recurrent,Unplanned,5: Commemorative,2: Fact,,,,,,,
opera performance summer 2006,AOL_expl,20060512-20060818,3: Future event (after 31/05/2006),Recurrent,1-year,2: Ongoing,3: Entertainment,http://ionarts.blogspot.com/2006/05/opera-in-summer-2006.html,,,,,,
oprah show,MSN_impl,20060501-20060531,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-week,2: Ongoing,3: Entertainment,,,,,,,
oprah winfrey,MSN_impl,20060501-20060531,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-week,2: Ongoing,3: Entertainment,,,,,,,
opus dei,MSN_impl,20060515,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Planned,4: Meme,2: Fact,,,,,,,
orlando hernandez,MSN_impl,20060524,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Unplanned,2: Ongoing,6: Sports,,,,,,,
oscar,AOL_impl,20060225,1: Past event (before 01/03/2006),Recurrent,1-year,4: Meme,3: Entertainment,past event,,,,,,
oscar winners,AOL_impl,20060225,1: Past event (before 01/03/2006),Recurrent,1-year,4: Meme,3: Entertainment,past event,,,,,,
oscars,AOL_impl,20060225,1: Past event (before 01/03/2006),Recurrent,1-year,4: Meme,3: Entertainment,past event,,,,,,
oscars 2006,AOL_expl,20060225,1: Past event (before 01/03/2006),Recurrent,1-year,4: Meme,3: Entertainment,past event,,,,,,
over the hedge,MSN_impl,20060429,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Planned,2: Ongoing,3: Entertainment,Recency event,,,,,,
ozzfest,AOL_impl,20060712-20060830,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,3: Anticipated,7: Holiday,,,,,,,
ozzfest 2006,MSN_expl,20060712-20060830,3: Future event (after 31/05/2006),Recurrent,1-year,3: Anticipated,7: Holiday,,,,,,,
ozzfest 2006,AOL_impl,20060712-20060830,2: Recency event (b/w 01/05/2006 - 31/05/2006),Recurrent,1-year,3: Anticipated,7: Holiday,,,,,,,
ozzfest 2006 lineup,AOL_expl,20060712-20060830,2: Recency event (b/w 01/03/2006 - 31/05/2006),Recurrent,1-year,3: Anticipated,7: Holiday,,,,,,,
parkinsons disease,AOL_impl,20060627,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Unplanned,4: Meme,2: Fact,,,,,,,
parkinson's disease,AOL_impl,20060627,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Unplanned,4: Meme,2: Fact,,,,,,,
pat robertson's lift,MSN_impl,20060526,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Unplanned,2: Ongoing,5: Celebrity,,,,,,,
patricia rashbrook,MSN_impl,20060504,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Unplanned,2: Ongoing,1: News,,,,,,,
patrick dempsey,AOL_impl,20060504,2: Recency event (b/w 01/05/2006 - 31/05/2006),Non-recurrent,Unplanned,2: Ongoing,3: Entertainment,,,,,,,
